name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
One Of A Kind	Juan de Marcos González	250989	43	False	2021-08-06	2021	2021-10-23	https://open.spotify.com/track/53eQ6LNW4oByJr5rOMK5wF	O	Vivo (Original Motion Picture Soundtrack)	53eQ6LNW4oByJr5rOMK5wF
My Own Drum (Remix) [with Missy Elliott]	Ynairaly Simo	177134	30	False	2021-07-30	2021	2021-10-16	https://open.spotify.com/track/3btsAwBdn0ndjBiVrOlvfH	M	"My Own Drum (Remix) [with Missy Elliott] [From the Motion Picture ""Vivo""]"	3btsAwBdn0ndjBiVrOlvfH
Shape of You	Walk off the Earth	204761	31	False	2017-02-14	2017	2021-10-04	https://open.spotify.com/track/210ECk1fiaC7Wfhl0IZc7K	S	Shape of You	210ECk1fiaC7Wfhl0IZc7K
Hello	Walk off the Earth	293164	26	False	2016-01-01	2016	2021-09-27	https://open.spotify.com/track/7urgNG3jrBgMeriKJDm8rf	H	Hello	7urgNG3jrBgMeriKJDm8rf
Do The Bartman	The Simpsons	310706	37	False	1990-01-01	1990	2021-09-06	https://open.spotify.com/track/5iM1Csh4jiBHdt0TCnjB4Z	D	The Simpsons Sing The Blues	5iM1Csh4jiBHdt0TCnjB4Z
Scarborough Fair / Canticle - Extended Version	Simon & Garfunkel	379640	36	False	1968-01-21	1968	2021-09-06	https://open.spotify.com/track/3n7fX1PpAi4E4Izkvoj5M9	S	The Graduate	3n7fX1PpAi4E4Izkvoj5M9
The Lonely Goatherd	Julie Andrews	192800	39	False	1965-01-01	1965	2021-08-27	https://open.spotify.com/track/3rXOmrzLvHHwcPk9KIxRSO	T	The Sound Of Music (50th Anniversary Edition)	3rXOmrzLvHHwcPk9KIxRSO
West Side Story: Act II: I Feel Pretty	Leonard Bernstein	215960	34	False	1961-01-01	1961	2021-08-20	https://open.spotify.com/track/4JCBnb6zviWQjtlhxUgtis	W	West Side Story (Original Motion Picture Soundtrack)	4JCBnb6zviWQjtlhxUgtis
West Side Story: Act I: Something's Coming	Leonard Bernstein	152426	34	False	1961-01-01	1961	2021-08-20	https://open.spotify.com/track/12duZc7sEBtgHsudXsJCy2	W	West Side Story (Original Motion Picture Soundtrack)	12duZc7sEBtgHsudXsJCy2
West Side Story: Act I: America	Leonard Bernstein	299000	43	False	1961-01-01	1961	2021-08-20	https://open.spotify.com/track/1RZ6jzlPeEaDeKYe7IJ792	W	West Side Story (Original Motion Picture Soundtrack)	1RZ6jzlPeEaDeKYe7IJ792
In My Bones (feat. Kimbra & Tank and The Bangas)	Jacob Collier	249293	34	False	2020-08-14	2020	2021-08-16	https://open.spotify.com/track/06PNiDGtPIMOq9VU2ftVCk	I	Djesse Vol. 3	06PNiDGtPIMOq9VU2ftVCk
Time Alone With You (feat. Daniel Caesar)	Jacob Collier	255946	48	False	2019-11-29	2019	2021-08-15	https://open.spotify.com/track/04jVEb76Kw5OrmGtlXlHxI	T	Time Alone With You (feat. Daniel Caesar)	04jVEb76Kw5OrmGtlXlHxI
Running Outta Love (feat. Tori Kelly)	Jacob Collier	265586	23	False	2020-07-31	2020	2021-08-15	https://open.spotify.com/track/5jYF7Xmvmn7sNjtuPXaXfQ	R	Running Outta Love (feat. Tori Kelly)	5jYF7Xmvmn7sNjtuPXaXfQ
Here Comes The Sun (feat. dodie)	Jacob Collier	238360	31	False	2019-04-26	2019	2021-08-15	https://open.spotify.com/track/2KQlkzT8Gg1lFDU0y5TYeK	H	Here Comes The Sun (feat. dodie)	2KQlkzT8Gg1lFDU0y5TYeK
Running with the Wolves - WolfWalkers Version	AURORA	167866	47	False	2020-12-14	2020	2021-06-05	https://open.spotify.com/track/5KF4xocBjejdsiztbvSW83	R	WolfWalkers (Original Motion Picture Soundtrack)	5KF4xocBjejdsiztbvSW83
Do-Re-Mi	Julie Andrews	335173	53	False	1965-01-01	1965	2021-06-05	https://open.spotify.com/track/6aNMGfwdGyELNGCuqs5ldU	D	The Sound Of Music (50th Anniversary Edition)	6aNMGfwdGyELNGCuqs5ldU
Lemon Boy - Acappella Version	Cavetown	260594	34	False	2018-01-01	2018	2021-05-22	https://open.spotify.com/track/4I0oT5OlrteLMshW3OWtTT	L	Lemon Boy	4I0oT5OlrteLMshW3OWtTT
Material Girl	Madonna	240706	56	False	1984-11-12	1984	2021-05-21	https://open.spotify.com/track/7bkyXSi4GtVfD7itZRUR3e	M	Like a Virgin	7bkyXSi4GtVfD7itZRUR3e
Je Me Suis Fait Tout Petit	Georges Brassens	234600	44	False	1989-01-01	1989	2021-05-10	https://open.spotify.com/track/0kW9E0TuO9Vk32gSWaRZpD	J	Les Copains D'Abord	0kW9E0TuO9Vk32gSWaRZpD
5:55	Charlotte Gainsbourg	292226	30	False	2007-05-14	2007	2021-05-10	https://open.spotify.com/track/2m2gFF3FIzVRxBKDziMEey	5	5:55 (Nouvelle Edition)	2m2gFF3FIzVRxBKDziMEey
Anything You Can Do	Betty Hutton	194760	0	False	2017-11-07	2017	2021-05-08	https://open.spotify.com/track/23zDylMBWnh6cjRX9qPfuf	A	Annie Get Your Gun (Songs from the Original Soundtrack of the MGM musical)	23zDylMBWnh6cjRX9qPfuf
Anything You Can Do	Bernadette Peters	197973	44	False	1999-01-01	1999	2021-05-04	https://open.spotify.com/track/1sOoOXwA5QftTmj6V0fqlJ	A	Annie Get Your Gun: The New Broadway Cast Recording	1sOoOXwA5QftTmj6V0fqlJ
Somebody That I Used to Know	Pentatonix	199360	46	False	2012-06-26	2012	2021-04-16	https://open.spotify.com/track/5XPSElbh3y0S1Jl0ggpwQr	S	PTX, Vol. 1	5XPSElbh3y0S1Jl0ggpwQr
Blood on the Dance Floor	Michael Jackson	253000	60	False	1997-05-11	1997	2021-04-14	https://open.spotify.com/track/11lw4bWbmxWIETHitBU0Gc	B	BLOOD ON THE DANCE FLOOR/ HIStory In The Mix	11lw4bWbmxWIETHitBU0Gc
